Encryption at Rest: Whose Threat Model Is It Anyway?,https://scottarc.blog/2024/06/02/encryption-at-rest-whose-threat-model-is-it-anyway/
Hacking millions of modems and investigating who hacked my modem,https://samcurry.net/hacking-millions-of-modems
Show HN: Web Development with Htmx, Type-Guided Components, Pure Python,https://getludic.dev/docs/
SaySelf: Teaching LLMs to Express Confidence with Self-Reflective Rationales,https://arxiv.org/abs/2405.20974
Coding and Keyboards (2023),https://www.hendrik-erz.de/post/coding-and-keyboards
Diffusion on syntax trees for program synthesis,https://tree-diffusion.github.io/
Langfuse (YC W23): Hiring Product Engineer (In-Person, Open Source),https://github.com/langfuse/langfuse/blob/main/careers
Delivering WordPress in 6KB (2018),https://sustywp.com/
Koheesio: Nike's Python-based framework to build advanced data-pipelines,https://github.com/Nike-Inc/koheesio
Using Vectorize to build an unreasonably good search engine in 160 lines of code,https://blog.partykit.io/posts/using-vectorize-to-build-search/
